Name*Surname*Surname1*Surname2*Account*Path*Group*DNI*Departament*Enabled*Password*ExpirationAccount*Email*NetTime*Computer
LUIS*NAVARRO RUIZ*NAVARRO*RUIZ*LNAVARROR*OU=Administracion,OU=Departamentos,OU=IES_Jaume_I,DC=iesjaumei,DC=mylocal*GG-Administracion*12345678-A*Administracion*yes*JaumeI2026!*45*lnavarror@iesjaumei.mylocal*L-V,08:00-15:00*W11IJ-001
SUSANA*ALABAU SANCHO*ALABAU*SANCHO*SALABAUS*OU=Administracion,OU=Departamentos,OU=IES_Jaume_I,DC=iesjaumei,DC=mylocal*GG-Administracion*12345679-B*Administracion*yes*JaumeI2026!*45*salabaus@iesjaumei.mylocal*L-V,08:00-15:00*W11IJ-002
PEDRO*GOMIS ZAMBUJO*GOMIS*ZAMBUJO*PGOMISZ*OU=Administracion,OU=Departamentos,OU=IES_Jaume_I,DC=iesjaumei,DC=mylocal*GG-Administracion*12345680-C*Administracion*yes*JaumeI2026!*45*pgomisz@iesjaumei.mylocal*L-V,08:00-15:00*W11IJ-003
PIEDAD*VALENCIA RUIZ*VALENCIA*RUIZ*PVALENCIAR*OU=Administracion,OU=Departamentos,OU=IES_Jaume_I,DC=iesjaumei,DC=mylocal*GG-Administracion*12345681-D*Administracion*yes*JaumeI2026!*45*pvalenciar@iesjaumei.mylocal*L-V,08:00-15:00*W11IJ-004
MANUEL*VARGAS COELLO*VARGAS*COELLO*MVARGASC*OU=Administracion,OU=Departamentos,OU=IES_Jaume_I,DC=iesjaumei,DC=mylocal*GG-Administracion*12345682-E*Administracion*yes*JaumeI2026!*45*mvargasc@iesjaumei.mylocal*L-V,08:00-15:00*W11IJ-005
JAVIER*ARIAS PUJOL*ARIAS*PUJOL*JARIASP*OU=Administracion,OU=Departamentos,OU=IES_Jaume_I,DC=iesjaumei,DC=mylocal*GG-Administracion*12345683-F*Administracion*yes*JaumeI2026!*45*jariasp@iesjaumei.mylocal*L-V,08:00-15:00*W11IJ-006
EVA*PELLICER JUAN*PELLICER*JUAN*EPELLICERJ*OU=Administracion,OU=Departamentos,OU=IES_Jaume_I,DC=iesjaumei,DC=mylocal*GG-Administracion*12345684-G*Administracion*yes*JaumeI2026!*45*epellicerj@iesjaumei.mylocal*L-V,08:00-15:00*W11IJ-007
RODRIGO*GALLEGO CHAVES*GALLEGO*CHAVES*RGALLEOGC*OU=Administracion,OU=Departamentos,OU=IES_Jaume_I,DC=iesjaumei,DC=mylocal*GG-Administracion*12345685-H*Administracion*yes*JaumeI2026!*45*rgalleogc@iesjaumei.mylocal*L-V,08:00-15:00*W11IJ-008
JOHANN*AGUILAR ALBA*AGUILAR*ALBA*JAGUILARA*OU=Profesorado_ESOBAT,OU=Departamentos,OU=IES_Jaume_I,DC=iesjaumei,DC=mylocal*GG-Profesorado_ESOBAT*12345686-I*Profesorado_ESOBAT*yes*JaumeI2026!*45*jaguilara@iesjaumei.mylocal*L-V,08:00-15:00*W11IJ-009
PEPE*SANCHO CARVALHO*SANCHO*CARVALHO*PSANCHOC*OU=Profesorado_ESOBAT,OU=Departamentos,OU=IES_Jaume_I,DC=iesjaumei,DC=mylocal*GG-Profesorado_ESOBAT*12345687-J*Profesorado_ESOBAT*yes*JaumeI2026!*45*psanchoc@iesjaumei.mylocal*L-V,08:00-15:00*W11IJ-010
SARA*ZAMBUJO CAMPOS*ZAMBUJO*CAMPOS*SZAMBUJOC*OU=Profesorado_ESOBAT,OU=Departamentos,OU=IES_Jaume_I,DC=iesjaumei,DC=mylocal*GG-Profesorado_ESOBAT*12345688-K*Profesorado_ESOBAT*yes*JaumeI2026!*45*szambujoc@iesjaumei.mylocal*L-V,08:00-15:00*W11IJ-011
ISABEL*RUIZ MONCHO*RUIZ*MONCHO*IRUIZM*OU=Profesorado_ESOBAT,OU=Departamentos,OU=IES_Jaume_I,DC=iesjaumei,DC=mylocal*GG-Profesorado_ESOBAT*12345689-L*Profesorado_ESOBAT*yes*JaumeI2026!*45*iruizm@iesjaumei.mylocal*L-V,08:00-15:00*W11IJ-012
FRANCISCO*COELLO ALABAU*COELLO*ALABAU*FCOELLOA*OU=Profesorado_ESOBAT,OU=Departamentos,OU=IES_Jaume_I,DC=iesjaumei,DC=mylocal*GG-Profesorado_ESOBAT*12345690-M*Profesorado_ESOBAT*yes*JaumeI2026!*45*fcoelloa@iesjaumei.mylocal*L-V,08:00-15:00*UDIJ-001
BASILIO*PUJOL GOMIS*PUJOL*GOMIS*BPUJOLG*OU=Profesorado_ESOBAT,OU=Departamentos,OU=IES_Jaume_I,DC=iesjaumei,DC=mylocal*GG-Profesorado_ESOBAT*12345691-N*Profesorado_ESOBAT*yes*JaumeI2026!*45*bpujolg@iesjaumei.mylocal*L-V,08:00-15:00*UDIJ-002
MARIO*JUAN VALENCIA*JUAN*VALENCIA*MJUANV*OU=Profesorado_ESOBAT,OU=Departamentos,OU=IES_Jaume_I,DC=iesjaumei,DC=mylocal*GG-Profesorado_ESOBAT*12345692-O*Profesorado_ESOBAT*yes*JaumeI2026!*45*mjuanv@iesjaumei.mylocal*L-V,08:00-15:00*UDIJ-003
IGNACIO*CHAVES VARGAS*CHAVES*VARGAS*ICHAVESV*OU=Profesorado_ESOBAT,OU=Departamentos,OU=IES_Jaume_I,DC=iesjaumei,DC=mylocal*GG-Profesorado_ESOBAT*12345693-P*Profesorado_ESOBAT*yes*JaumeI2026!*45*ichavesv@iesjaumei.mylocal*L-V,08:00-15:00*UDIJ-004
LAURA*ALBA ARIAS*ALBA*ARIAS*LALBAA*OU=Alumnado_Ciclos,OU=Departamentos,OU=IES_Jaume_I,DC=iesjaumei,DC=mylocal*GG-Alumnado_Ciclos*12345694-Q*Alumnado_Ciclos*yes*JaumeI2026!*45*lalbaa@iesjaumei.mylocal*L-V,08:00-15:00*UDIJ-005
JORGE*CARVALHO PELLICER*CARVALHO*PELLICER*JCARVALHOP*OU=Alumnado_Ciclos,OU=Departamentos,OU=IES_Jaume_I,DC=iesjaumei,DC=mylocal*GG-Alumnado_Ciclos*12345695-R*Alumnado_Ciclos*yes*JaumeI2026!*45*jcarvalhop@iesjaumei.mylocal*L-V,08:00-15:00*UDIJ-006
ANTONIO*CAMPOS GALLEGO*CAMPOS*GALLEGO*ACAMPOSG*OU=Alumnado_Ciclos,OU=Departamentos,OU=IES_Jaume_I,DC=iesjaumei,DC=mylocal*GG-Alumnado_Ciclos*12345696-S*Alumnado_Ciclos*yes*JaumeI2026!*45*acamposg@iesjaumei.mylocal*L-V,08:00-15:00*UDIJ-007
CLAUDIO*MONCHO AGUILAR*MONCHO*AGUILAR*CMONCHOA*OU=Alumnado_Ciclos,OU=Departamentos,OU=IES_Jaume_I,DC=iesjaumei,DC=mylocal*GG-Alumnado_Ciclos*12345697-T*Alumnado_Ciclos*yes*JaumeI2026!*45*cmonchoa@iesjaumei.mylocal*L-V,08:00-15:00*UDIJ-008
PEPE*CHAVES CAMPOS*CHAVES*CAMPOS*PCHAVESC*OU=Alumnado_Ciclos,OU=Departamentos,OU=IES_Jaume_I,DC=iesjaumei,DC=mylocal*GG-Alumnado_Ciclos*12345698-U*Alumnado_Ciclos*yes*JaumeI2026!*45*pchavesc@iesjaumei.mylocal*L-V,08:00-15:00*UDIJ-009
